"","lat","lon","modality","units","O3_cal","O3","reg_site","timestamp"
"255",37.743061,-122.169907,"OZONE","PPB",16,18.1,"San Leandro",2020-06-29 23:00:00
"256",37.9383,-122.025,"OZONE","PPB",23,24.7,"Concord",2020-06-29 23:00:00
"257",37.9722,-122.5189,"OZONE","PPB",15,15.5,"San Rafael",2020-06-29 22:00:00
"258",37.7658,-122.3978,"OZONE","PPB",19,17.1,"San Francisco",2020-06-29 22:00:00
"259",37.9604,-122.3571,"OZONE","PPB",19,17.5,"San Pablo",2020-06-29 22:00:00
"260",37.864767,-122.302741,"OZONE","PPB",13,10.2,"Berkeley",2020-06-29 22:00:00
"261",37.8148,-122.282402,"OZONE","PPB",13,15,"Oakland",2020-06-29 22:00:00
"262",38.102507,-122.237976,"OZONE","PPB",19,17.3,"Vallejo",2020-06-29 22:00:00
"263",37.743061,-122.169907,"OZONE","PPB",15,16.5,"San Leandro",2020-06-29 22:00:00
"264",37.9383,-122.025,"OZONE","PPB",21,20.2,"Concord",2020-06-29 22:00:00
"265",37.9722,-122.5189,"OZONE","PPB",13,7.8,"San Rafael",2020-06-29 21:00:00
"266",37.7658,-122.3978,"OZONE","PPB",18,15.4,"San Francisco",2020-06-29 21:00:00
"267",37.9604,-122.3571,"OZONE","PPB",17,16.1,"San Pablo",2020-06-29 21:00:00
"268",37.864767,-122.302741,"OZONE","PPB",12,9.8,"Berkeley",2020-06-29 21:00:00
"269",37.8148,-122.282402,"OZONE","PPB",12,17.1,"Oakland",2020-06-29 21:00:00
"270",38.102507,-122.237976,"OZONE","PPB",18,13.5,"Vallejo",2020-06-29 21:00:00
"271",37.743061,-122.169907,"OZONE","PPB",13,15.3,"San Leandro",2020-06-29 21:00:00
"272",37.9383,-122.025,"OZONE","PPB",19,17.5,"Concord",2020-06-29 21:00:00
"273",37.9722,-122.5189,"OZONE","PPB",12,6.8,"San Rafael",2020-06-29 20:00:00
"274",37.7658,-122.3978,"OZONE","PPB",17,15.2,"San Francisco",2020-06-29 20:00:00
"275",37.9604,-122.3571,"OZONE","PPB",17,12.5,"San Pablo",2020-06-29 20:00:00
"276",37.864767,-122.302741,"OZONE","PPB",11,7.3,"Berkeley",2020-06-29 20:00:00
"277",37.8148,-122.282402,"OZONE","PPB",11,8.5,"Oakland",2020-06-29 20:00:00
"278",38.102507,-122.237976,"OZONE","PPB",17,13.6,"Vallejo",2020-06-29 20:00:00
"279",37.743061,-122.169907,"OZONE","PPB",12,8.7,"San Leandro",2020-06-29 20:00:00
"280",37.9383,-122.025,"OZONE","PPB",18,13.5,"Concord",2020-06-29 20:00:00
"281",37.9722,-122.5189,"OZONE","PPB",12,9.2,"San Rafael",2020-06-29 19:00:00
